"rep","mes","tick_extinct"
"15814299",67,49,3502
"15859423",79,49,502
"15881499",85,49,1402
"15886537",87,49,2702
"15905015",92,49,1602
"15944090",4,50,38302
"15949249",6,50,14802
"15981938",17,50,1402
"15982030",18,50,8202
"16004850",27,50,8602
"16052257",38,50,7902
"16052347",39,50,8002
"16054103",41,50,6802
"16083278",48,50,5602
"16108058",55,50,1702
"16150583",67,50,2402
"16197880",79,50,2802
"16212371",85,50,10902
"16212549",86,50,16802
"16212718",87,50,15902
"16221209",92,50,3902
"16273884",4,51,14902
"16312418",17,51,12402
"16312489",18,51,6102
"16434677",51,51,19702
"16443781",55,51,1402
"16462969",61,51,14502
"16485470",67,51,4602
"16525213",79,51,5202
"16541503",85,51,7102
"16541637",86,51,12402
"16604412",4,52,8902
"16652986",17,52,1802
"16653076",18,52,8002
"16658192",20,52,10502
"16668941",24,52,9902
"16684263",28,52,30902
"16767304",54,52,20502
"16767379",55,52,6502
"16812441",67,52,2702
"16858519",79,52,3202
"16863644",81,52,11402
"16879327",86,52,23402
"16893215",90,52,7502
"16897384",92,52,3002
"16944384",4,53,3402
"16949519",6,53,12402
"16983799",17,53,1102
"16983897",18,53,8802
"17006130",24,53,5302
"17052014",38,53,17502
"17091998",51,53,11602
"17096659",55,53,902
"17142268",67,53,1602
"17180611",79,53,1302
"17197544",85,53,2902
"17202626",87,53,7102
"17214268",92,53,7202
"17247739",4,54,9402
"17252858",6,54,10802
"17283880",17,54,2702
"17361319",41,54,29402
"17384056",48,54,12302
"17405222",55,54,3902
"17452661",67,54,3302
"17505269",79,54,2402
"17510383",81,54,10302
"17527270",86,54,14002
"17548717",92,54,802
"17588768",4,55,3702
"17638408",17,55,2502
"17644256",20,55,2302
"17655695",24,55,4202
"17740008",48,55,3402
"17759482",55,55,4602
"17760682",57,55,4302
"17805557",67,55,1802
"17844781",79,55,702
"17849918",81,55,12602
"17862510",85,55,1902
"17867594",87,55,7302
"17936426",4,56,3502
"17941522",6,56,8502
"17970513",17,56,1702
"17978181",20,56,19902
"18029856",38,56,5202
"18038470",41,56,14302
"18082946",55,56,3002
"18088009",57,56,5202
"18126354",67,56,5702
"18168727",81,56,11102
"18177052",85,56,5302
"18177099",86,56,3702
"18196374",92,56,4002
"18233695",4,57,4902
"18238496",6,57,18502
"18269778",17,57,6402
"18269888",18,57,10002
"18289966",24,57,4602
"18346830",38,57,8002
"18407680",55,57,1002
"18453729",67,57,3002
"18497439",79,57,7702
"18502568",81,57,11802
"18504415",85,57,11302
"18504559",86,57,13402
"18523220",92,57,3302
"18539362",98,57,9902
"18555540",4,58,8702
"18560595",6,58,4402
"18603861",17,58,702
"18603910",18,58,3902
"18609157",20,58,23602
"18620185",24,58,4402
"18721564",55,58,2302
"18740379",61,58,17802
"18765474",67,58,8002
"18801304",79,58,4302
"18802010",81,58,6702
"18817522",87,58,3402
"18833134",92,58,1502
"18872811",4,59,5602
"18914746",17,59,2602
"18914842",18,59,8602
"18931384",24,59,4402
"19028969",51,59,17002
"19036497",55,59,1702
"19119928",79,59,4902
"19141265",86,59,5702
"19150012",89,59,44302
"19197764",3,60,10302
"19207874",6,60,9802
"19253100",24,60,13502
"19358432",51,60,10202
"19369541",55,60,1002
"19409839",67,60,1002
"19449269",79,60,9202
"19454348",81,60,6802
"19466854",87,60,8702
"19472022",89,60,15702
"19478358",92,60,602
"19525304",4,61,16402
"19526418",6,61,6302
"19541366",12,61,33902
"19555644",17,61,902
"19555709",18,61,5502
"19560817",20,61,9702
"19568501",24,61,9102
"19608499",38,61,7602
"19643917",48,61,10102
"19652235",51,61,2802
"19691030",61,61,13502
"19712866",67,61,2402
"19760317",79,61,702
"19779832",85,61,7102
"19801974",92,61,1602
"19837162",4,62,6902
"19877813",18,62,3302
"19898892",24,62,6802
"19905943",27,62,8502
"19906137",28,62,18402
"19947562",38,62,15502
"19976318",48,62,5202
"19983895",51,62,3202
"19997852",55,62,2602
"20043212",67,62,402
"20082034",79,62,2102
"20086166",81,62,4902
"20095756",85,62,9902
"20096216",86,62,45002
"20109503",92,62,7002
"20155863",4,63,6702
"20160903",6,63,2902
"20195893",17,63,3502
"20216680",24,63,10002
"20283890",41,63,17302
"20312768",51,63,6202
"20320288",55,63,4802
"20344907",61,63,19602
"20359082",67,63,1802
"20402234",79,63,4402
"20420636",85,63,13502
"20440870",92,63,2602
"20478195",4,64,18802
"20519616",17,64,1202
"20519751",18,64,12502
"20540606",24,64,3702
"20592014",39,64,10702
"20593867",41,64,12302
"20625719",51,64,12302
"20631998",55,64,1202
"20670262",67,64,1102
"20706378",79,64,2802
"20724540",85,64,11202
"20729642",87,64,9102
"20746057",92,64,2502
"20786929",4,65,12202
"20827514",17,65,7502
"20851884",24,65,6202
"20895534",39,65,6402
"20928504",51,65,12502
"20941446",55,65,2002
"20961997",61,65,21802
"20981415",67,65,2102
"21019910",79,65,9002
"21039780",85,65,9102
"21059641",90,65,27902
"21105667",4,66,2002
"21110747",6,66,6902
"21124357",12,66,41302
"21140473",17,66,902
"21140608",18,66,12502
"21146119",20,66,50002
"21210055",38,66,1102
"21240946",51,66,6702
"21299373",67,66,2602
"21347144",79,66,5302
"21366043",85,66,2302
"21381433",89,66,37702
"21386920",92,66,1002
"21427098",3,67,21202
"21427177",4,67,6902
"21432278",6,67,9002
"21478110",17,67,2202
"21498271",24,67,9402
"21549928",38,67,12602
"21579567",48,67,5002
"21582086",51,67,8102
"21595215",57,67,12202
"21629411",67,67,3802
"21670701",79,67,502
"21691428",85,67,1002
"21706108",92,67,602
"21746563",4,68,3602
"21796126",17,68,1502
"21801343",20,68,2502
"21814762",24,68,4402
"21907937",51,68,3902
"21922688",55,68,2002
"22025702",79,68,14702
"22048036",87,68,16302
"22065670",92,68,1702
"22110975",4,69,2602
"22160779",17,69,3202
"22232706",38,69,8602
"22239299",41,69,39502
"22272198",51,69,16202
"22280986",55,69,802
"22286237",57,69,28402
"22319851",67,69,3002
"22373075",81,69,5902
"22378724",85,69,7002
