C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-2.0000000000000003e-06,1.8775510204081634,[0.3125],[0.5326087],[-5.59966057e-05],[-5.43656366e-06],0.85538089977437,0.07460845349282877,-0.0003181458594302737,-2.3007343591167216e-06,-2.5e-05,-2.5e-05,960.9586255366377,21986.235679043246,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,1.969387755102041,[0.3125],[0.50777202],[-5.59966057e-05],[-5.43656366e-06],0.644915159618489,0.07906331349778759,-0.00016223073087251902,-2.3369659886795755e-06,-2.5e-05,-2.5e-05,1909.275849839428,13406.877722471558,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.0612244897959187,[0.3125],[0.48514851],[-5.59966057e-05],[-5.43656366e-06],0.7342996336289668,0.07552316598088017,-0.00021595064871510243,-2.336881573819534e-06,-2.5e-05,-2.5e-05,1430.074178973881,17018.96747875359,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.1530612244897958,[0.3125],[0.46445498],[-5.59966057e-05],[-5.43656366e-06],2.4476012399802687,0.4646054247904681,-0.05192808417634758,-5.438324979987627e-06,-2.5e-05,-2.5e-05,6.017938171931204,85404.04960080677,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,2.2448979591836737,[0.3125],[0.44545455],[-5.59966057e-05],[-5.43656366e-06],0.6856131817111489,0.07775104952595376,-0.00018479613736252694,-2.381404293501873e-06,-2.5e-05,-2.5e-05,1682.048999497364,14991.080949981326,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.336734693877551,[0.3125],[0.4279476],[-5.59966057e-05],[-5.43656366e-06],0.6852477980464842,0.07807181131704155,-0.00018458019486247403,-2.400267742912181e-06,-2.5e-05,-2.5e-05,1687.295463266793,14952.258905845249,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.428571428571429,[0.3125],[0.41176471],[-5.59966057e-05],[-5.43656366e-06],0.6888115615060566,0.07826787796989561,-0.00018669720364089553,-2.418690584079417e-06,-2.5e-05,-2.5e-05,1675.9660468951358,15036.535486145973,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.5204081632653064,[0.3125],[0.39676113],[-5.59966057e-05],[-5.43656366e-06],0.6905359089965427,0.07828734718840347,-0.00018773022982825557,-2.4362579851984948e-06,-2.5e-05,-2.5e-05,1639.578041572596,15309.50185723032,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.612244897959184,[0.3125],[0.3828125],[-5.59966057e-05],[-5.43656366e-06],2.0705500212083128,0.38331529595403685,-0.015538112311428107,-5.4437088732061335e-06,-2.5e-05,-2.5e-05,20.111838152154817,70322.00084843465,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,2.7040816326530615,[0.3125],[0.36981132],[-5.59966057e-05],[-5.43656366e-06],0.7422312567297025,0.07732739403246525,-0.00022150188449577104,-2.4651354775824086e-06,-2.5e-05,-2.5e-05,1310.460551795388,18078.47099798623,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,2.795918367346939,[0.3125],[0.35766423],[-5.59966057e-05],[-5.43656366e-06],1.9538611796576504,0.35839463093539925,-0.010696232447123222,-5.447677177992921e-06,-2.5e-05,-2.5e-05,29.215894619711833,65654.44718618222,False,True
